"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2020";"Dapperbuurt";"Amsterdam                               ";"Wijk      ";"WK036329            ";"     9.2";"    23.2"
"65 jaar of ouder";"Waarde";"2020";"Dapperbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03632900          ";"     9.8";"    24.4"
"65 jaar of ouder";"Waarde";"2020";"Dapperbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03632901          ";"    10.4";"    25.4"
"65 jaar of ouder";"Waarde";"2020";"Oostpoort";"Amsterdam                               ";"Buurt     ";"BU03632902          ";"     6.1";"    16.6"
"65 jaar of ouder";"Waarde";"2020";"Transvaalbuurt";"Amsterdam                               ";"Wijk      ";"WK036330            ";"    10.6";"    26.0"
"65 jaar of ouder";"Waarde";"2020";"Transvaalbuurt West";"Amsterdam                               ";"Buurt     ";"BU03633000          ";"    11.0";"    26.9"
"65 jaar of ouder";"Waarde";"2020";"Transvaalbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03633001          ";"    10.2";"    25.1"
"65 jaar of ouder";"Waarde";"2020";"Indische Buurt West";"Amsterdam                               ";"Wijk      ";"WK036331            ";"    12.3";"    29.5"
"65 jaar of ouder";"Waarde";"2020";"Noordwestkwadrant Indische buurt Noord";"Amsterdam                               ";"Buurt     ";"BU03633100          ";"    10.4";"    26.6"
"65 jaar of ouder";"Waarde";"2020";"Noordwestkwadrant Indische buurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03633101          ";"    12.6";"    29.5"
"65 jaar of ouder";"Waarde";"2020";"Zuidwestkwadrant Indische buurt";"Amsterdam                               ";"Buurt     ";"BU03633102          ";"    13.0";"    30.9"
"65 jaar of ouder";"Waarde";"2020";"Indische Buurt Oost";"Amsterdam                               ";"Wijk      ";"WK036332            ";"    11.1";"    26.8"
"65 jaar of ouder";"Waarde";"2020";"Noordoostkwadrant Indische buurt";"Amsterdam                               ";"Buurt     ";"BU03633200          ";"    11.2";"    26.4"
"65 jaar of ouder";"Waarde";"2020";"Zuidoostkwadrant Indische buurt";"Amsterdam                               ";"Buurt     ";"BU03633201          ";"    11.6";"    29.6"
"65 jaar of ouder";"Waarde";"2020";"Zeeburgerdijk Oost";"Amsterdam                               ";"Buurt     ";"BU03633202          ";"     6.4";"    12.3"
"65 jaar of ouder";"Waarde";"2020";"Flevopark";"Amsterdam                               ";"Buurt     ";"BU03633203          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Oostelijk Havengebied";"Amsterdam                               ";"Wijk      ";"WK036333            ";"     4.3";"    12.4"
"65 jaar of ouder";"Waarde";"2020";"Oostelijke Handelskade";"Amsterdam                               ";"Buurt     ";"BU03633300          ";"     5.2";"    15.0"
"65 jaar of ouder";"Waarde";"2020";"Rietlanden";"Amsterdam                               ";"Buurt     ";"BU03633301          ";"     5.3";"    14.9"
"65 jaar of ouder";"Waarde";"2020";"Java-eiland";"Amsterdam                               ";"Buurt     ";"BU03633302          ";"     3.3";"     9.6"
"65 jaar of ouder";"Waarde";"2020";"KNSM-eiland";"Amsterdam                               ";"Buurt     ";"BU03633303          ";"     3.1";"     9.9"
"65 jaar of ouder";"Waarde";"2020";"Sporenburg";"Amsterdam                               ";"Buurt     ";"BU03633304          ";"     3.6";"    12.3"
"65 jaar of ouder";"Waarde";"2020";"Borneo";"Amsterdam                               ";"Buurt     ";"BU03633305          ";"     4.6";"    14.7"
"65 jaar of ouder";"Waarde";"2020";"Entrepot-Noordwest";"Amsterdam                               ";"Buurt     ";"BU03633306          ";"     5.8";"    16.9"
"65 jaar of ouder";"Waarde";"2020";"Architectenbuurt";"Amsterdam                               ";"Buurt     ";"BU03633307          ";"     5.4";"    14.1"
"65 jaar of ouder";"Waarde";"2020";"Bedrijvengebied Veelaan";"Amsterdam                               ";"Buurt     ";"BU03633308          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Bedrijvengebied Cruquiusweg";"Amsterdam                               ";"Buurt     ";"BU03633309          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Bedrijvengebied Zeeburgerkade";"Amsterdam                               ";"Buurt     ";"BU03633310          ";"     3.7";"     8.2"
"65 jaar of ouder";"Waarde";"2020";"Zeeburgereiland/Nieuwe Diep";"Amsterdam                               ";"Wijk      ";"WK036334            ";"     3.8";"    13.8"
"65 jaar of ouder";"Waarde";"2020";"Zeeburgereiland Noordwest";"Amsterdam                               ";"Buurt     ";"BU03633400          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Zeeburgereiland Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03633402          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Zeeburgereiland Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03633403          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Nieuwe Diep/Diemerpark";"Amsterdam                               ";"Buurt     ";"BU03633404          ";"     2.8";"     7.8"
"65 jaar of ouder";"Waarde";"2020";"RI Oost terrein";"Amsterdam                               ";"Buurt     ";"BU03633405          ";"     4.0";"    14.3"
"65 jaar of ouder";"Waarde";"2020";"Zeeburgereiland Noordoost";"Amsterdam                               ";"Buurt     ";"BU03633406          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"IJburg West";"Amsterdam                               ";"Wijk      ";"WK036335            ";"     5.3";"    16.6"
"65 jaar of ouder";"Waarde";"2020";"Steigereiland Noord";"Amsterdam                               ";"Buurt     ";"BU03633500          ";"     5.0";"    18.2"
"65 jaar of ouder";"Waarde";"2020";"Steigereiland Zuid";"Amsterdam                               ";"Buurt     ";"BU03633501          ";"     4.6";"    17.7"
"65 jaar of ouder";"Waarde";"2020";"Haveneiland Zuidwest/Rieteiland West";"Amsterdam                               ";"Buurt     ";"BU03633502          ";"     2.4";"     7.6"
"65 jaar of ouder";"Waarde";"2020";"Haveneiland Noordwest";"Amsterdam                               ";"Buurt     ";"BU03633504          ";"     5.5";"    15.7"
"65 jaar of ouder";"Waarde";"2020";"Haveneiland Noordoost";"Amsterdam                               ";"Buurt     ";"BU03633505          ";"     7.0";"    21.3"
"65 jaar of ouder";"Waarde";"2020";"Sloterdijk";"Amsterdam                               ";"Wijk      ";"WK036336            ";"     3.5";"     7.4"
"65 jaar of ouder";"Waarde";"2020";"Woon- en Groengebied Sloterdijk";"Amsterdam                               ";"Buurt     ";"BU03633600          ";"     3.5";"     7.4"
"65 jaar of ouder";"Waarde";"2020";"Bedrijventerrein Sloterdijk I";"Amsterdam                               ";"Buurt     ";"BU03633601          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Landlust";"Amsterdam                               ";"Wijk      ";"WK036337            ";"    11.5";"    26.0"
"65 jaar of ouder";"Waarde";"2020";"Bedrijventerrein Landlust";"Amsterdam                               ";"Buurt     ";"BU03633700          ";"     5.9";"    21.2"
"65 jaar of ouder";"Waarde";"2020";"Bosleeuw";"Amsterdam                               ";"Buurt     ";"BU03633702          ";"    13.8";"    28.2"
