"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Oostelijke Handelskade",25,25.3,21.8
"Oostenburg",30.2,30.5,28
"Oosterdokseiland",24.9,26.9,11.1
"Oosterpark",38.3,39.3,29.4
"Oosterparkbuurt Noordwest",33.9,33.9,34
"Oosterparkbuurt Zuidoost",29.1,29.3,27.9
"Oosterparkbuurt Zuidwest",38.5,38.5,38.5
"Oostoever Sloterplas",20.9,21.4,19.6
"Oostpoort",25.8,26.8,22.2
"Oostzanerdijk",17.1,17.7,14.6
"Orteliusbuurt Midden",31,30.8,32.4
"Orteliusbuurt Noord",34.5,34.5,34.5
"Orteliusbuurt Zuid",30.2,30.3,29.7
"Osdorp Midden Noord",49.6,53,35.8
"Osdorp Midden Zuid",45.8,47.8,35
"Osdorp Zuidoost",33.2,37,22.5
"Osdorper Binnenpolder",13.4,16,NA
"Osdorper Bovenpolder",21.6,25.1,12.3
"Osdorpplein e.o.",40.4,42.1,29.8
"Oude Kerk e.o.",33.2,34.2,25.1
"Overamstel",7.7,8,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",22.6,24.5,8.1
"Overtoomse Veld Noord",43.5,42.7,49.4
"Overtoomse Veld Zuid",38.3,38.3,38.3
"P.C. Hooftbuurt",18.9,21.4,9.1
"Papaverweg e.o.",17.5,18.2,8.1
"Paramariboplein e.o.",26.4,26.4,26.6
"Park Haagseweg",11.2,13.4,5.1
"Park de Meer",20.3,22.4,13.9
"Parooldriehoek",40.9,40.7,NA
"Passeerdersgrachtbuurt",24.5,27.3,14.5
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",34.2,34.6,30.9
"Plan van Gool",40.2,43.7,23.3
"Planciusbuurt Noord",31.9,33.5,20.3
"Planciusbuurt Zuid",37.4,38.7,31.7
"Postjeskade e.o.",27.6,28,25.2
"Prinses Irenebuurt",13.1,16.5,5.1
"RAI",NA,NA,NA
"RI Oost terrein",28.6,29.3,18.7
"Ransdorp",9.3,11.3,5.3
"Rapenburg",28,28.7,23.3
"Rechte H-buurt",48,48.7,43.7
"Reguliersbuurt",32.7,33,NA
"Reigersbos Midden",37.7,40.7,28.4
"Reigersbos Noord",48.1,49.7,40.5
"Reigersbos Zuid",30.6,34.6,20.2
"Rembrandtpark Noord",31.2,32.7,12.6
"Rembrandtpark Zuid",21.8,22.7,14.1
"Rembrandtpleinbuurt",29.4,30.5,13.4
"Riekerhaven",50.6,50.6,NA
"Riekerpolder",27.5,27.6,NA
"Rieteiland Oost",6.2,6.3,NA
"Rietlanden",24.6,25.4,20.2
"Rijnbuurt Midden",26.6,27.1,24.1
"Rijnbuurt Oost",27,27.6,23.6
"Rijnbuurt West",40.5,44,30.5
"Robert Scottbuurt Oost",33.3,32.8,37.7
"Robert Scottbuurt West",40.4,40.8,37.7
"Rode Kruisbuurt",10.1,13.7,4.7
"Sarphatiparkbuurt",29.2,29.5,27.1
"Sarphatistrook",26.5,27.7,18.5
"Scheepvaarthuisbuurt",22.8,25.1,10.8
"Scheldebuurt Midden",21.1,21.6,18.5
"Scheldebuurt Oost",23.6,24.9,16
"Scheldebuurt West",24.2,25.2,19.9
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",11,11.8,8.8
"Schellingwoude West",9.1,10.4,5.5
"Schinkelbuurt Noord",27,27.6,22.3
"Schinkelbuurt Zuid",33.6,34.9,27.7
"Schipluidenbuurt",33.4,33.6,17.8
"Science Park Noord",31.2,31.9,5.4
"Science Park Zuid",49.7,50.5,NA
"Sloterdijk II",38.6,38.6,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",46.5,47.3,NA
"Slotermeer Zuid",47.7,50.3,34.4
"Sloterpark",30.8,30.8,NA
"Sloterweg e.o.",16,19.4,5.9
"Spaarndammerbuurt Midden",34.1,34,35
"Spaarndammerbuurt Noordoost",36.8,37.8,32
"Spaarndammerbuurt Noordwest",35.8,35.8,36.1
"Spaarndammerbuurt Zuidoost",31.5,32.2,28.3
"Spaarndammerbuurt Zuidwest",31.7,31,35.2
"Spiegelbuurt",20.2,22.2,8.6
"Sporenburg",18.3,18.7,14.3
"Sportpark Middenmeer Noord",55.6,55.7,NA
"Sportpark Middenmeer Zuid",14.1,15.3,13.1
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",28.7,30.5,10.2
"Spuistraat Zuid",29.3,30.4,20.9
"Staalmanbuurt",43.6,44.8,35.6
"Staatsliedenbuurt Noordoost",34.9,36,32.4
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",28,28.1,26.4
"Steigereiland Zuid",23.4,23.3,24.4
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",22.9,24.2,15.4
"Swammerdambuurt",22.9,23.6,16.6
"Teleport",39.4,39.4,NA
"Terrasdorp",35.6,38,28
"Transvaalbuurt Oost",36.8,36.5,38.5
"Transvaalbuurt West",37.5,36.7,41.5
"Trompbuurt",27.2,27.2,27.1
"Tuindorp Amstelstation",46.3,52.3,32.9
"Tuindorp Frankendael",31.7,34.1,23.4
"Tuindorp Nieuwendam Oost",31.8,34.1,25.6
"Tuindorp Nieuwendam West",30.8,33.6,25.7
"Tuindorp Oostzaan Oost",31.7,33.7,26
"Tuindorp Oostzaan West",30,33.7,23.6
"Twiske Oost",24,25.8,19.6
"Twiske West",20,21.8,12.9
"Uilenburg",25.1,26.9,17.7
"Utrechtsebuurt Zuid",21,23.3,12.3
"VU-kwartier",28,29.4,NA
"Valeriusbuurt Oost",14.4,16.1,7
"Valeriusbuurt West",19.7,21.1,13.4
"Valkenburg",23.7,25.7,18.5
"Van Brakelkwartier",40.2,39.9,41.8
"Van Loonbuurt",19.4,22.1,8.6
"Van Tuyllbuurt",25.2,25.7,21.9
"Van der Helstpleinbuurt",27.9,28.3,24.6
"Van der Kunbuurt",48,49.5,39.9
"Van der Pekbuurt",43.9,44.9,36.9
"Veluwebuurt",28,29.9,21.5
"Venserpolder Oost",43,42.8,44.6
"Venserpolder West",44,44.1,43.5
"Vervoerscentrum",NA,NA,NA
"Vivaldi",35.9,36.4,12.8
"Vliegenbos",13.6,14.4,7.5
"Vogelbuurt Noord",37.3,36.9,39.7
"Vogelbuurt Zuid",40.7,41.3,37.6
"Vogeltjeswei",39.3,38.1,43
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",24.1,25.7,18.1
"Vondelparkbuurt Oost",20.7,23.8,6
"Vondelparkbuurt West",22.8,23.8,17.9
"WG-terrein",26.1,28.1,19.2
"Walvisbuurt",23.3,24.4,18.2
"Waterloopleinbuurt",24.9,27.3,17
"Weesperbuurt",25.5,27.3,18.2
"Weespertrekvaart",22.7,23.3,4.8
"Weesperzijde Midden/Zuid",24,24.5,21.2
"Werengouw Midden",39.1,41.2,29
"Werengouw Zuid",37.1,40.8,20.9
"Westelijke eilanden",24.8,27.1,17.2
"Westerdokseiland",22,23.6,17.4
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",30.9,30.6,35.3
"Westhaven Noord",36.3,41.3,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",25.1,25.4,23.3
"Weteringbuurt",22.9,24.7,12.2
"Wielingenbuurt",20.6,22.1,14.1
"Wildeman",48.3,53.3,32.7
"Willemsparkbuurt Noord",18.2,20,9.1
"Willibrordusbuurt",31.4,32.2,27.8
"Wittenburg",30.9,32.5,25.2
"Woon- en Groengebied Sloterdijk",20.3,20.9,11.2
"Zaagpoortbuurt",37,38.1,26.1
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",23.2,24.1,19.8
"Zeeburgereiland Noordoost",20.2,20.5,NA
"Zeeburgereiland Noordwest",16.1,20.3,NA
"Zeeburgereiland Zuidoost",43.4,43.5,NA
"Zeeburgereiland Zuidwest",38.7,38.9,NA
"Zeeheldenbuurt",31.6,32.2,28.6
"Zorgvlied",15.8,14.3,NA
"Zuidas Noord",20.4,21,10.1
"Zuidas Zuid",23,23.8,8.8
"Zuiderhof",32.5,32.5,NA
"Zuiderkerkbuurt",26.4,28.8,19
"Zuidoostkwadrant Indische buurt",40.8,40.6,42.1
"Zuidwestkwadrant Indische buurt",43.5,42.9,46.1
"Zuidwestkwadrant Osdorp Noord",44.4,45.2,41.1
"Zuidwestkwadrant Osdorp Zuid",38.6,39.5,30.7
"Zunderdorp",12.8,14.6,8.4
"Zwarte Gouw",NA,NA,NA
"de Plantage",18.6,21.7,8.3
